time,history
2022-09-09 19:25:12.843865,Walk
2022-09-09 19:25:13.401985,Excursion
2022-09-09 19:25:15.203823,Pee
2022-09-09 19:41:12.525940,Crate
2022-09-10 00:19:42.059427,Pee
2022-09-10 10:09:09.495725,Walk
2022-09-10 10:09:10.757307,Pee
2022-09-10 10:09:11.093186,Poop
2022-09-10 10:09:13.232665,Breakfast
2022-09-10 10:19:13.419382,Crate
2022-09-10 12:27:48.109350,Pee
2022-09-10 15:41:39.574305,Pee
2022-09-10 15:41:40.535385,Play
2022-09-10 18:04:13.459458,Walk
2022-09-10 18:04:14.684405,Pee
2022-09-10 18:04:15.013967,Poop
2022-09-10 18:25:29.735943,Crate
2022-09-10 18:26:55.044882,Dinner
2022-09-10 19:00:00.924553,Accident
2022-09-10 21:00:29.496480,Pee
2022-09-10 23:30:33.851717,Pee
2022-09-11 08:37:15.139109,Pee
2022-09-11 08:37:16.270113,Poop
2022-09-11 08:42:38.376632,Breakfast
2022-09-11 10:07:56.393935,Walk
2022-09-11 10:07:57.624533,Pee
2022-09-11 10:07:57.859950,Poop
2022-09-11 10:12:38.376632,Breakfast
